Species	freq	node_id	parent_node_id	Gene symbol	Class	Subclass	n.node	n.node_child	sum	denominator
Enterobacter hormaechei_A;Enterobacter roggenkampii	1	oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	1	0	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	1	0	1	1
Enterobacter kobei;Mycobacterium tuberculosis	1	oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	1	0	1	1
Enterobacter nimipressuralis_A	1	oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	1	0	1	1
Enterobacter wuhouensis	1	oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	1	0	1	1
Enterobacter cloacae_Q	1	blaACT	CMY2-MIR-ACT-EC	blaACT	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Enterobacter kobei;Mycobacterium tuberculosis	1	blaACT	CMY2-MIR-ACT-EC	blaACT	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Enterobacter nimipressuralis_A	1	blaACT	CMY2-MIR-ACT-EC	blaACT	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Enterobacter cloacae_Q	1	sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	1	0	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	1	0	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	tet(B)	tet_A_B_C_D	tet(B)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Enterobacter cloacae_Q	1	tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Enterobacter asburiae_B;Klebsiella pneumoniae	1	fosA5_fam	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	1	0	1	1
Enterobacter ludwigii;Klebsiella pneumoniae	1	fosA5_fam	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	1	0	1	1
Enterobacter cloacae_Q	1	aac(6')-Ib-cr5	aac(6')-Ib-cr	aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	1	0	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	blaACT-15	blaACT	blaACT-15	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Enterobacter cloacae_Q	1	blaCTX-M-15	blaCTX-M	blaCTX-M-15	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	blaKPC-3	blaKPC	blaKPC-3	BETA-LACTAM	CARBAPENEM	1	0	1	1
Enterobacter cloacae_Q	1	blaOXA-1	blaOXA-1_fam	blaOXA-1	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Enterobacter asburiae_B;Klebsiella pneumoniae	1	blaSHV-11	blaSHV	blaSHV-11	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Enterobacter ludwigii;Klebsiella pneumoniae	1	blaSHV-75	blaSHV	blaSHV-75	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Enterobacter cloacae_Q	1	blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Enterobacter asburiae_B;Klebsiella pneumoniae	1	oqxB14	oqxB	oqxB14	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	1	0	1	1
Enterobacter ludwigii;Klebsiella pneumoniae	1	oqxB14	oqxB	oqxB14	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	1	0	1	1
Enterobacter cloacae_Q	1	qnrB1	qnrB	qnrB1	QUINOLONE	QUINOLONE	1	0	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	rmtB3	rmtB	rmtB3	AMINOGLYCOSIDE	AMINOGLYCOSIDE	1	0	1	1
Enterobacter cloacae_Q	1	CMY2-MIR-ACT-EC	NA	NA	NA	NA	0	1	1	1
Enterobacter kobei;Mycobacterium tuberculosis	1	CMY2-MIR-ACT-EC	NA	NA	NA	NA	0	1	1	1
Enterobacter nimipressuralis_A	1	CMY2-MIR-ACT-EC	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	CMY2-MIR-ACT-EC	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Enterobacter roggenkampii	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Enterobacter kobei;Mycobacterium tuberculosis	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Enterobacter nimipressuralis_A	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Enterobacter wuhouensis	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Enterobacter asburiae_B;Klebsiella pneumoniae	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Enterobacter roggenkampii	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter kobei;Mycobacterium tuberculosis	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter ludwigii;Klebsiella pneumoniae	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter nimipressuralis_A	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter wuhouensis	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	aac(3)-II	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	aac(3)-II	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	aac(6')-Ib-cr	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	aadA_4_5	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	ant(3'')-Ia	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	aph(3'')	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	aph(3'')	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	aph(6)-I	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	aph(6)-I	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Enterobacter roggenkampii	1	blaACT	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	blaACT	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	blaCTX-M	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	blaKPC	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	blaOXA-1_fam	NA	NA	NA	NA	0	1	1	1
Enterobacter asburiae_B;Klebsiella pneumoniae	1	blaSHV	NA	NA	NA	NA	0	1	1	1
Enterobacter ludwigii;Klebsiella pneumoniae	1	blaSHV	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	blaTEM	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	catA	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	catB	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	dfrA	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	dfrA	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	erm-23S_rRNA	NA	NA	NA	NA	0	1	1	1
Enterobacter asburiae_B;Klebsiella pneumoniae	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Enterobacter roggenkampii	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter kobei;Mycobacterium tuberculosis	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter ludwigii;Klebsiella pneumoniae	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter nimipressuralis_A	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter wuhouensis	1	fosA_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	fosX_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	mph_gen	NA	NA	NA	NA	0	1	1	1
Enterobacter asburiae_B;Klebsiella pneumoniae	1	oqxB	NA	NA	NA	NA	0	1	1	1
Enterobacter ludwigii;Klebsiella pneumoniae	1	oqxB	NA	NA	NA	NA	0	1	1	1
Enterobacter wuhouensis	1	qnr	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	qnrB	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	rmtB	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	sul	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	tet(M-W-O-S)	NA	NA	NA	NA	0	1	1	1
Enterobacter cloacae_Q	1	tet_A_B_C_D	NA	NA	NA	NA	0	1	1	1
Enterobacter sichuanensis;Escherichia coli;Pluralibacter gergoviae	1	tet_A_B_C_D	NA	NA	NA	NA	0	1	1	1
Enterobacter hormaechei_A;Listeria monocytogenes_B	1	vga	NA	NA	NA	NA	0	1	1	1
Enterococcus_B faecium	1.0352345377487249	erm-23S_rRNA	NA	NA	NA	NA	0	28823	28823	27842
Enterococcus_B faecium	0.9965878888010918	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2	27745	27747	27842
Enterococcus_B faecium	0.9957258817613676	aacA-ENT1	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	27723	0	27723	27842
Enterococcus_B faecium	0.99206235184254	msr	NA	NA	NA	NA	0	27621	27621	27842
Enterococcus_B faecium	0.9920264348825516	msr(C)	msr	msr(C)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	27620	0	27620	27842
Enterococcus_B faecium	0.8986423389124345	pbp5	NA	pbp5_M485A	BETA-LACTAM	BETA-LACTAM	25020	0	25020	27842
Enterococcus_B faecium	0.8230730550966167	erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	22916	0	22916	27842
Enterococcus_B faecium	0.8180087637382372	vanA-all	NA	NA	NA	NA	0	22775	22775	27842
Enterococcus_B faecium	0.8171108397385245	vanX	NA	NA	NA	NA	0	22750	22750	27842
Enterococcus faecalis	1.0556248441007732	lsa	NA	NA	NA	NA	0	8464	8464	8018
Enterococcus faecalis	0.9928909952606636	lsa(A)	lsa	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	7961	0	7961	8018
Enterococcus_B lactis	0.9980059820538384	aacA-ENT1	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	1001	0	1001	1003
Enterococcus_B lactis	0.9980059820538384	aac(6')_Entco	NA	NA	NA	NA	0	1001	1001	1003
Enterococcus_B lactis	0.9950149551345964	msr(C)	msr	msr(C)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	998	0	998	1003
Enterococcus_B lactis	0.9950149551345964	msr	NA	NA	NA	NA	0	998	998	1003
Enterococcus_B hirae	0.9968652037617556	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	75	879	954	957
Enterococcus_B durans	0.9963503649635036	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	101	172	273	274
Enterococcus_D gallinarum	1	vanR-ABDEGLN	NA	NA	NA	NA	0	260	260	260
Enterococcus_D gallinarum	0.9961538461538462	vanR-C	vanR-ABDEGLN	vanR-C	GLYCOPEPTIDE	VANCOMYCIN	259	0	259	260
Enterococcus_D gallinarum	0.9961538461538462	vanS_ACDEFG	NA	NA	NA	NA	0	259	259	260
Enterococcus_D gallinarum	0.9923076923076924	vanS-C	vanS_ACDEFG	vanS-C	GLYCOPEPTIDE	VANCOMYCIN	258	0	258	260
Enterococcus_D gallinarum	0.9923076923076924	vanT-C	vanT_CELN	vanT-C	GLYCOPEPTIDE	VANCOMYCIN	258	0	258	260
Enterococcus_D gallinarum	0.9923076923076924	vanXY-C	vanXY	vanXY-C	GLYCOPEPTIDE	VANCOMYCIN	258	0	258	260
Enterococcus_D gallinarum	0.9923076923076924	vanC1	vanC	vanC1	GLYCOPEPTIDE	VANCOMYCIN	258	0	258	260
Enterococcus_D gallinarum	0.9923076923076924	vanC	NA	NA	NA	NA	0	258	258	260
Enterococcus_D gallinarum	0.9923076923076924	vanT_CELN	NA	NA	NA	NA	0	258	258	260
Enterococcus_D gallinarum	0.9923076923076924	vanXY	NA	NA	NA	NA	0	258	258	260
Enterococcus_E cecorum	0.9015544041450776	tet(M-W-O-S)	NA	NA	NA	NA	0	174	174	193
Enterococcus_E cecorum	0.8549222797927462	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	165	0	165	193
Enterococcus_D casseliflavus	1	vanR-ABDEGLN	NA	NA	NA	NA	0	98	98	98
Enterococcus_D casseliflavus	1	vanS_ACDEFG	NA	NA	NA	NA	0	98	98	98
Enterococcus_D casseliflavus	0.9897959183673468	vanC2/3	vanC	vanC	GLYCOPEPTIDE	VANCOMYCIN	97	0	97	98
Enterococcus_D casseliflavus	0.9897959183673468	vanS-C	vanS_ACDEFG	vanS-C	GLYCOPEPTIDE	VANCOMYCIN	97	0	97	98
Enterococcus_D casseliflavus	0.9897959183673468	vanXY-C	vanXY	vanXY-C	GLYCOPEPTIDE	VANCOMYCIN	66	31	97	98
Enterococcus_D casseliflavus	0.9897959183673468	vanR-C	vanR-ABDEGLN	vanR-C	GLYCOPEPTIDE	VANCOMYCIN	97	0	97	98
Enterococcus_D casseliflavus	0.9897959183673468	vanC	NA	NA	NA	NA	0	97	97	98
Enterococcus_D casseliflavus	0.9897959183673468	vanT_CELN	NA	NA	NA	NA	0	97	97	98
Enterococcus_B pernyi	1	aacA-ENT4	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	79	0	79	79
Enterococcus_B pernyi	1	aac(6')_Entco	NA	NA	NA	NA	0	79	79	79
Enterococcus_B mundtii	1	aacA-ENT4	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	65	0	65	65
Enterococcus_B mundtii	1	aac(6')_Entco	NA	NA	NA	NA	0	65	65	65
Enterococcus_D innesii	1.0185185185185186	vanS_ACDEFG	NA	NA	NA	NA	0	55	55	54
Enterococcus_D innesii	1	vanC2/3	vanC	vanC	GLYCOPEPTIDE	VANCOMYCIN	54	0	54	54
Enterococcus_D innesii	1	vanS-C	vanS_ACDEFG	vanS-C	GLYCOPEPTIDE	VANCOMYCIN	54	0	54	54
Enterococcus_D innesii	1	vanXY-C	vanXY	vanXY-C	GLYCOPEPTIDE	VANCOMYCIN	18	36	54	54
Enterococcus_D innesii	1	vanC	NA	NA	NA	NA	0	54	54	54
Enterococcus_D innesii	1	vanR-ABDEGLN	NA	NA	NA	NA	0	54	54	54
Enterococcus_D innesii	0.9814814814814816	vanR-C	vanR-ABDEGLN	vanR-C	GLYCOPEPTIDE	VANCOMYCIN	53	0	53	54
Enterococcus_D innesii	0.9814814814814816	vanT_CELN	NA	NA	NA	NA	0	53	53	54
Enterococcus_D innesii	0.9444444444444444	vanT-C	vanT_CELN	vanT-C	GLYCOPEPTIDE	VANCOMYCIN	51	0	51	54
Enterococcus_A raffinosus	0.8918918918918919	erm-23S_rRNA	NA	NA	NA	NA	0	33	33	37
Enterococcus_A raffinosus	0.8108108108108109	tet(M-W-O-S)	NA	NA	NA	NA	0	30	30	37
Enterococcus_B mundtii_C	1	aacA-ENT4	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	12	0	12	12
Enterococcus_B mundtii_C	1	aac(6')_Entco	NA	NA	NA	NA	0	12	12	12
Enterococcus_C dispar	1	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	4	0	4	4
Enterococcus_A dongliensis	2	IONOPHORE	NA	NA	NA	NA	0	4	4	2
Enterococcus_E cecorum_A	2	IONOPHORE	NA	NA	NA	NA	0	4	4	2
Enterococcus_C dispar	1	aac(6')	NA	NA	NA	NA	0	4	4	4
Enterococcus_B villorum	1	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	3	0	3	3
Enterococcus_B villorum	1	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	3	0	3	3
Enterococcus_B villorum	1	aac(6')	NA	NA	NA	NA	0	3	3	3
Enterococcus_B villorum	1	tet(M-W-O-S)	NA	NA	NA	NA	0	3	3	3
Enterococcus_B mundtii_B	1	aacA-ENT4	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2	0	2	2
Enterococcus_A dongliensis	1	narA	IONOPHORE	narA	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	2	0	2	2
Enterococcus_E cecorum_A	1	narA	IONOPHORE	narA	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	2	0	2	2
Enterococcus_A dongliensis	1	narB	IONOPHORE	narB	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	2	0	2	2
Enterococcus_E cecorum_A	1	narB	IONOPHORE	narB	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	2	0	2	2
Enterococcus_E cecorum_A	1	erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	2	0	2	2
Enterococcus_E columbae	1	erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	2	0	2	2
Enterococcus_E cecorum_A	1	tet(L)	tet_L_K_45	tet(L)	TETRACYCLINE	TETRACYCLINE	2	0	2	2
Enterococcus_E cecorum_A	1	vat(E)	vat	vat(E)	STREPTOGRAMIN	STREPTOGRAMIN	2	0	2	2
Enterococcus_B phoeniculicola	1	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2	0	2	2
Enterococcus_C asini	1	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2	0	2	2
Enterococcus_E cecorum_A	1	lnu(C)	lnu_CDP	lnu(C)	LINCOSAMIDE	LINCOSAMIDE	2	0	2	2
Enterococcus_A xiangfangensis	1	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	2	0	2	2
Enterococcus_E cecorum_A	1	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	2	0	2	2
Enterococcus_B phoeniculicola	1	aac(6')	NA	NA	NA	NA	0	2	2	2
Enterococcus_C asini	1	aac(6')	NA	NA	NA	NA	0	2	2	2
Enterococcus_B mundtii_B	1	aac(6')_Entco	NA	NA	NA	NA	0	2	2	2
Enterococcus_E cecorum_A	1	erm-23S_rRNA	NA	NA	NA	NA	0	2	2	2
Enterococcus_E columbae	1	erm-23S_rRNA	NA	NA	NA	NA	0	2	2	2
Enterococcus_E cecorum_A	1	lnu_CDP	NA	NA	NA	NA	0	2	2	2
Enterococcus_A xiangfangensis	1	tet(M-W-O-S)	NA	NA	NA	NA	0	2	2	2
Enterococcus_E cecorum_A	1	tet(M-W-O-S)	NA	NA	NA	NA	0	2	2	2
Enterococcus_E cecorum_A	1	tet_L_K_45	NA	NA	NA	NA	0	2	2	2
Enterococcus_E cecorum_A	1	vat	NA	NA	NA	NA	0	2	2	2
Enterococcus_B faecium;Phocaeicola vulgatus	1	aacA-ENT1	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	lsa(A)	lsa	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	1	0	1	1
Bulleidia moorei;Enterococcus faecalis;Enterococcus_B faecium	1	lsa(A)	lsa	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	1	0	1	1
Centipeda artemidis;Enterococcus faecalis;Enterococcus_B faecium;Faecalibacterium prausnitzii_D	1	lsa(A)	lsa	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	1	0	1	1
Enterococcus_I lemanii	1	lsa(E)	lsa	lsa(E)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	1	0	1	1
Enterococcus_B faecium;Phocaeicola vulgatus	1	msr(C)	msr	msr(C)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	1	0	1	1
Enterococcus_C songbeiensis	1	tet(S)	tet(M-W-O-S)	tet(S)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Enterococcus_F sp009933335	1	tet(S)	tet(M-W-O-S)	tet(S)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	vanH-A	vanH_group_A_Pt	vanH-A	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Enterococcus caccae	1	vanR-E	vanR-ABDEGLN	vanR-E	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	vanS-A	vanS_ACDEFG	vanS-A	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Enterococcus caccae	1	vanT-E	vanT_CELN	vanT-E	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	vanX-A	vanX	vanX-A	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	vanY-A	vanY_AFMPt	vanY-A	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Enterococcus caccae	1	vanXY-E	vanXY	vanXY-E	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Enterococcus_I lemanii	1	lnu(B)	lnu_BFG	lnu(B)	LINCOSAMIDE	LINCOSAMIDE	1	0	1	1
Enterococcus caccae	1	vanE	vanC-all	vanE	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Enterococcus_F sp009933335	1	dfrD	dfr_DGK	dfrD	TRIMETHOPRIM	TRIMETHOPRIM	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	1	0	1	1
Enterococcus_F sp009933335	1	erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	vanZ-A	vanZ	vanZ-A	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Enterococcus_F sp009933335	1	fexA	MFS_efflux_CHL	fexA	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	vanR-A	vanR-ABDEGLN	vanR-A	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Enterococcus_F sp009933335	1	optrA	abc-f	optrA	PHENICOL/OXAZOLIDINONE	FLORFENICOL/OXAZOLIDINONE	1	0	1	1
Enterococcus_C songbeiensis	1	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	1	0	1	1
Enterococcus_C sp017316025	1	aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	1	0	1	1
Enterococcus_F sp009933335	1	lnu(A)	lnu_AE	lnu(A)	LINCOSAMIDE	LINCOSAMIDE	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	aac(6')-Ie	aac(6')-Ie_fam	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	vanA	vanA-all	vanA	GLYCOPEPTIDE	VANCOMYCIN	1	0	1	1
Anaeroglobus micronuciformis;Enterococcus faecalis;Enterococcus_B faecium;Streptococcus anginosus_C	1	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Centipeda artemidis;Enterococcus faecalis;Enterococcus_B faecium;Faecalibacterium prausnitzii_D	1	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Enterococcus_A sp902706605	1	tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
