#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN38637762	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002137352.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-10T08:36:54Z
SAMN38637760	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002137353.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-10T10:44:17Z
SAMN38637637	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138403.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T10:07:34Z
SAMN38637745	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138404.1	oxacillin	susceptible	<=	0.25		Phoenix	Becton Dickinson		CLSI	2024-04-14T10:28:35Z
SAMN38637644	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138405.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T10:44:10Z
SAMN38637763	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138406.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T10:59:50Z
SAMN38637730	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138407.1	oxacillin	susceptible	==	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T11:44:17Z
SAMN38637738	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138408.1	oxacillin	susceptible	<=	0.25		Phoenix	Becton Dickinson		CLSI	2024-04-14T12:09:57Z
SAMN38637733	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138409.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T12:25:30Z
SAMN38637679	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138410.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-14T12:42:44Z
SAMN38637731	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138411.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T12:58:21Z
SAMN38637744	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138413.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T13:44:48Z
SAMN38637636	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002138414.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-14T14:00:26Z
SAMN38637748	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002140413.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-15T11:13:51Z
SAMN38637740	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002140414.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-15T11:29:33Z
SAMN38637750	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002140415.1	gentamicin	resistant	>	8.0		Phoenix	Becton Dickinson		CLSI	2024-04-15T11:45:12Z
SAMN38637645	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002140416.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-15T13:48:47Z
SAMN38637756	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143987.1	oxacillin	susceptible	<=	0.25		Phoenix	Becton Dickinson		CLSI	2024-04-21T08:52:22Z
SAMN38637681	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143988.1	gentamicin	resistant	>	8.0		Phoenix	Becton Dickinson		CLSI	2024-04-21T09:07:58Z
SAMN38637704	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143989.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-21T09:40:58Z
SAMN38637751	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143990.1	oxacillin	susceptible	<=	0.25		Phoenix	Becton Dickinson		CLSI	2024-04-21T09:57:16Z
SAMN38637752	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143991.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-21T10:12:55Z
SAMN38637753	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143992.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-21T10:28:32Z
SAMN38637754	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143993.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-21T10:44:16Z
SAMN38637755	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143994.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-21T10:59:54Z
SAMN38637757	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143995.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-21T11:15:38Z
SAMN38637782	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143996.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-04-21T11:31:14Z
SAMN38637781	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002143997.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-04-21T11:46:56Z
SAMN38637759	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002144301.1	gentamicin	resistant	>	8.0		Phoenix	Becton Dickinson		CLSI	2024-04-22T11:46:37Z
SAMN38637742	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002146331.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-24T17:30:13Z
SAMN41091881	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147341.1	daptomycin	susceptible	==	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:50Z
SAMN41091880	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147342.1	daptomycin	susceptible	==	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:51Z
SAMN41091879	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147344.1	daptomycin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:52Z
SAMN41091878	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147345.1	daptomycin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:53Z
SAMN41091877	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147346.1	daptomycin	susceptible	==	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:54Z
SAMN41091876	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147347.1	daptomycin	susceptible	==	1.0		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:54Z
SAMN41091875	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147348.1	daptomycin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:54Z
SAMN41091874	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002147349.1	daptomycin	susceptible	==	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2024-04-26T14:53:54Z
SAMN38637764	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002147739.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-25T01:05:14Z
SAMN38637707	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002147740.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-25T01:20:48Z
SAMN38637697	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002147741.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-25T01:36:45Z
SAMN38637766	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002148268.2	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-27T09:38:13Z
SAMN38637743	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002148270.2	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-27T10:39:58Z
SAMN38637706	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002149969.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T17:56:01Z
SAMN38637725	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002149970.1	gentamicin	susceptible	==	2.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T18:27:45Z
SAMN38637771	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152299.1	oxacillin	susceptible	==	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T18:43:09Z
SAMN38637772	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152300.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T21:44:15Z
SAMN38637643	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152301.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T22:00:27Z
SAMN38637642	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152302.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T22:16:34Z
SAMN38637641	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152303.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T22:32:57Z
SAMN38637713	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152304.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-04-29T22:49:35Z
SAMN38637714	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152305.1	oxacillin	susceptible	<=	0.25		Phoenix	Becton Dickinson		CLSI	2024-04-29T23:06:57Z
SAMN38637716	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152309.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-30T03:45:37Z
SAMN38637705	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002152311.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-04-30T08:54:26Z
SAMN38637749	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002153466.1	gentamicin	resistant	>	8.0		Phoenix	Becton Dickinson		CLSI	2024-05-01T12:30:37Z
SAMN38637710	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002153467.1	gentamicin	resistant	>	8.0		Phoenix	Becton Dickinson		CLSI	2024-05-01T12:46:29Z
SAMN38637699	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002154882.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-05-02T16:05:36Z
SAMN38637774	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002157240.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-05-06T16:23:37Z
SAMN41039746	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002157241.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-05-06T16:39:49Z
SAMN38637773	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002157242.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-05-06T16:55:18Z
SAMN38637777	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002157243.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-05-06T17:26:24Z
SAMN38637775	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002157244.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-05-06T17:41:50Z
SAMN38637776	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002157245.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-05-06T17:57:20Z
SAMN38637780	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002157246.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-05-06T18:12:47Z
SAMN38637667	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002172331.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-05-20T10:53:22Z
SAMN38637769	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002174484.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-05-22T16:59:25Z
SAMN38637723	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002178669.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-05-27T01:14:35Z
SAMN38637712	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002178670.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-05-27T01:30:13Z
SAMN38637768	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002179382.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-05-27T12:13:19Z
SAMN38637633	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002182540.1	oxacillin	susceptible	<=	0.25		Phoenix	Becton Dickinson		CLSI	2024-05-29T09:07:50Z
SAMN38637627	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002183331.1	gentamicin	susceptible	<	4.0		Phoenix	Becton Dickinson		CLSI	2024-05-30T08:05:33Z
SAMN38637628	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002187644.2	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-07-10T18:10:12Z
SAMN38637779	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002189951.1	gentamicin	susceptible	<=	2.0		Phoenix	Becton Dickinson		CLSI	2024-06-05T09:05:30Z
SAMN38637746	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002199721.1	oxacillin	susceptible	<=	0.25		Phoenix	Becton Dickinson		CLSI	2024-06-10T12:33:01Z
SAMN38637767	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002199722.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-06-10T12:48:14Z
SAMN38637758	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002199723.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-06-10T13:03:29Z
SAMN38637747	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002216042.1	gentamicin	resistant	>	8.0		Phoenix	Becton Dickinson		CLSI	2024-06-17T13:39:11Z
SAMN36733056	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002216043.1	gentamicin	resistant	>	8.0		Vitek	Biomérieux		CLSI	2024-06-18T08:20:46Z
SAMN36733058	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002216044.1	gentamicin	resistant	>	8.0		Vitek	Biomérieux		CLSI	2024-06-18T08:36:11Z
SAMN38637686	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002216045.1	oxacillin	susceptible	==	0.5		Phoenix	Becton Dickinson		CLSI	2024-06-18T09:06:34Z
SAMN36733052	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	sputum	PDT002221214.1	gentamicin	susceptible	<	4.0		Phoenix	Becton Dickinson		CLSI	2024-06-20T08:58:33Z
SAMN36733053	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002221215.1	gentamicin	susceptible	<=	1.0		Vitek	Biomérieux		CLSI	2024-06-20T09:13:47Z
SAMN36733054	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002221216.1	gentamicin	susceptible	<=	1.0		Vitek	Biomérieux		CLSI	2024-06-20T09:28:56Z
SAMN38351592	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002225243.1	erythromycin	resistant	>	4.0		Phoenix	Becton Dickinson		CLSI	2024-06-23T11:52:30Z
SAMN38637787	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002225244.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-06-23T12:07:40Z
SAMN38637629	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002239691.1	erythromycin	resistant	>	4.0		Phoenix	Becton Dickinson		CLSI	2024-07-01T16:27:12Z
SAMN38351594	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002239692.1	gentamicin	susceptible	<=	1.0		Phoenix	Becton Dickinson		CLSI	2024-07-02T08:52:15Z
SAMN35723872	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002240111.1	gentamicin	susceptible	<=	2.0		Vitek			CLSI	2024-07-03T10:52:02Z
SAMN36733046	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002245349.1	gentamicin	susceptible	<	4.0		Phoenix	Becton Dickinson		CLSI	2024-07-08T21:44:04Z
SAMN02700075	Staphylococcus aureus	Staphylococcus aureus	clinical	USA	human	PDT000025954.4	gentamicin	susceptible	=	0.12					CLSI	2018-03-02T13:17:05Z
SAMN04456593	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	tissue	PDT000107931.3	gentamicin	susceptible	==	4.0		Vitek	Biomérieux		CLSI	2024-02-13T14:33:35Z
SAMN04901607	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000152770.2	doxycycline	susceptible	<=	1.0					CLSI	2016-10-17T12:20:46Z
SAMN06311511	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	sputum	PDT000186897.3	levofloxacin	susceptible	<=	0.5		Vitek	Biomérieux		CLSI	2017-04-13T20:40:09Z
SAMN06677988	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Nebraska	skin and soft tissue	PDT000202873.2	cefazolin	resistant	>	16.0		Phoenix	Becton Dickinson		CLSI	2017-04-11T10:51:06Z
SAMN08391007	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Nebraska	skin and soft tissue	PDT000284750.2	cefazolin	resistant	>	16.0		Phoenix	Becton Dickinson		CLSI	2018-01-31T01:00:11Z
SAMN08391108	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:California	skin and soft tissue	PDT000284751.2	cefazolin	resistant	>	16.0		Phoenix	Becton Dickinson		CLSI	2018-01-31T01:00:18Z
SAMN08456648	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000287913.2	erythromycin	susceptible	==	0.25		Phoenix	Becton Dickinson		EUCAST	2018-02-10T12:10:28Z
SAMN08456629	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000287914.2	chloramphenicol	susceptible	<=	8.0		Phoenix	Becton Dickinson		EUCAST	2018-02-10T12:10:35Z
SAMN08456651	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000302341.2	chloramphenicol	susceptible	<=	8.0		Phoenix	Becton Dickinson		EUCAST	2018-03-26T13:24:14Z
SAMN08456662	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000302342.2	chloramphenicol	susceptible	<=	8.0		Phoenix	Becton Dickinson		EUCAST	2018-03-26T13:25:30Z
SAMN08456633	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000302343.2	chloramphenicol	susceptible	<=	8.0		Phoenix	Becton Dickinson		EUCAST	2018-03-26T13:27:17Z
SAMN07291559	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313594.2	doxycycline	susceptible	<=	1.0					CLSI	2018-04-30T08:53:06Z
SAMN07291558	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313595.2	doxycycline	susceptible	<=	1.0					CLSI	2018-04-30T08:55:08Z
SAMN07291554	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313596.2	doxycycline	susceptible	<=	1.0					CLSI	2018-04-30T09:01:08Z
SAMN07291557	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313597.2	doxycycline	susceptible	<=	1.0					CLSI	2018-04-30T09:04:06Z
SAMN07291555	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313598.2	doxycycline	susceptible	<=	1.0					CLSI	2018-04-30T09:06:07Z
SAMN07291565	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326661.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T07:53:06Z
SAMN04901613	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326662.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T07:55:07Z
SAMN04901609	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326663.2	doxycycline	intermediate	==	8.0					CLSI	2018-06-06T07:56:05Z
SAMN04901606	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326664.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T07:57:06Z
SAMN07291563	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326665.2	doxycycline	resistant	==	16.0					CLSI	2018-06-06T07:59:06Z
SAMN07291564	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326666.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T08:01:07Z
SAMN07291566	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326667.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T08:03:11Z
SAMN07291560	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326668.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T08:06:08Z
SAMN04901615	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326669.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T08:08:48Z
SAMN07291562	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326670.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T08:10:25Z
SAMN04901605	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326671.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-06T08:12:08Z
SAMN04901616	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000331086.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-08T15:53:07Z
SAMN07291561	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000331087.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-08T15:54:07Z
SAMN04901618	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000331088.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-08T15:56:07Z
SAMN04901612	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000331089.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-08T15:57:07Z
SAMN04901610	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000331090.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-08T15:59:06Z
SAMN04901617	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000339865.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-22T17:03:57Z
SAMN04901608	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000339866.2	doxycycline	susceptible	<=	1.0					CLSI	2018-06-22T17:04:03Z
SAMN04901611	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000339867.2	doxycycline	susceptible	==	4.0					CLSI	2018-06-22T17:04:08Z
SAMN09428900	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	bone	PDT000339877.2	daptomycin	susceptible	==	1.0		Phoenix	Becton Dickinson		EUCAST	2018-06-24T19:03:20Z
SAMN07291568	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000343388.2	doxycycline	susceptible	<=	1.0					CLSI	2018-07-05T07:52:14Z
SAMN07291569	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000353060.2	doxycycline	susceptible	<=	1.0					CLSI	2018-07-16T09:07:09Z
SAMN07291567	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000355167.2	doxycycline	susceptible	<=	1.0					CLSI	2018-07-20T07:58:06Z
SAMN07291574	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000458721.1	doxycycline	susceptible	<=	1.0					CLSI	2019-02-04T12:00:41Z
SAMN07291585	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000458722.1	doxycycline	susceptible	<=	1.0					CLSI	2019-02-04T12:00:42Z
SAMN07291581	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000458723.1	doxycycline	susceptible	<=	1.0					CLSI	2019-02-04T12:00:42Z
SAMN07291583	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000458724.1	doxycycline	susceptible	==	2.0					CLSI	2019-02-04T12:00:42Z
SAMN07291570	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000458725.1	doxycycline	susceptible	<=	1.0					CLSI	2019-02-04T12:00:42Z
SAMN07291556	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000458726.1	doxycycline	susceptible	<=	1.0					CLSI	2019-02-04T12:00:42Z
