ERS	Isolate	ERR	BioSample	BioProject	Sequecning Status	Year	CTZ	CTX	AMP	AMX	AMC	TZP	CXM	CET	GEN	TBM	TMP	CIP
ERS357203	11658_7#40	ERR434970	SAMEA2204692	PRJEB4681	Previously sequenced	2011	S	S	S		S	S	S	S	S	S	S	S
ERS357204	11658_4#28	ERR434670	SAMEA2204693	PRJEB4681	Previously sequenced	2012	S	S	R		R	S	S	I	S	S	R	S
ERS357205	11657_5#28	ERR434286	SAMEA2204694	PRJEB4681	Previously sequenced	2012	S	S	R		S	S	S	I	S	S	S	S
ERS357206	11658_6#57	ERR434891	SAMEA2204695	PRJEB4681	Previously sequenced	2012	S	S	S		S	S	S	S	S	S	S	S
ERS357207	11791_6#11	ERR439638	SAMEA2204696	PRJEB4681	Previously sequenced	2012	S	S	S		S	S	S	S	S	S	S	S
ERS357208	11679_7#20	ERR435407	SAMEA2204697	PRJEB4681	Previously sequenced	2012	S	S	S		S	S	S	I	S	S	R	R
ERS357209	11658_8#57	ERR435060	SAMEA2204698	PRJEB4681	Previously sequenced	2012	S	S	R		S	S	S	I	S	S	R	I
ERS357210	11658_7#41	ERR434971	SAMEA2204699	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357211	11658_7#42	ERR434972	SAMEA2204700	PRJEB4681	Previously sequenced	2001	S			R	S	S	R		S			S
ERS357212	11658_5#58	ERR434796	SAMEA2204701	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357213	11658_4#29	ERR434671	SAMEA2204702	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357214	11658_7#43	ERR434973	SAMEA2204703	PRJEB4681	Previously sequenced	2001	S			R	S	S	R		S			S
ERS357215	11657_7#31	ERR434481	SAMEA2204704	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357216	11791_7#37	ERR439700	SAMEA2204705	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		R			S
ERS357217	11658_5#59	ERR434797	SAMEA2204706	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357218	11791_7#38	ERR439701	SAMEA2204707	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357219	11658_6#58	ERR434892	SAMEA2204708	PRJEB4681	Previously sequenced	2001	S			S	S	I	S		S			S
ERS357220	11658_5#60	ERR434798	SAMEA2204709	PRJEB4681	Previously sequenced	2001	S			S	S	S	R		S			S
ERS357221	11657_5#29	ERR434287	SAMEA2204710	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		R			S
ERS357222	11657_5#30	ERR434288	SAMEA2204711	PRJEB4681	Previously sequenced	2001	S			R	R	S	S		S			S
ERS357223	11657_7#32	ERR434482	SAMEA2204712	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357224	11791_7#39	ERR439702	SAMEA2204713	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357225	11658_5#61	ERR434799	SAMEA2204714	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357226	11658_4#30	ERR434672	SAMEA2204715	PRJEB4681	Previously sequenced	2001	S			R	R	S	S		S			S
ERS357227	11658_6#59	ERR434893	SAMEA2204716	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357228	11658_4#31	ERR434673	SAMEA2204717	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357229	11658_7#44	ERR434974	SAMEA2204718	PRJEB4681	Previously sequenced	2001	S			R	R	S	S		S			S
ERS357230	11658_4#32	ERR434674	SAMEA2204719	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357231	11679_8#15	ERR435498	SAMEA2204720	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357232	11658_7#45	ERR434975	SAMEA2204721	PRJEB4681	Previously sequenced	2001	S			R	R	S	S		S			S
ERS357233	11791_7#40	ERR439703	SAMEA2204722	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357234	11791_7#41	ERR439704	SAMEA2204723	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357235	11658_8#58	ERR435061	SAMEA2204724	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357236	11658_6#60	ERR434894	SAMEA2204725	PRJEB4681	Previously sequenced	2001	S			S	S	S	S		S			S
ERS357237	11658_4#33	ERR434675	SAMEA2204726	PRJEB4681	Previously sequenced	2001	S			R	S	S	S		S			S
ERS357238	11791_7#42	ERR439705	SAMEA2204727	PRJEB4681	Previously sequenced	2002	I	S		R	R	I	R		S			S
ERS357239	11658_4#34	ERR434676	SAMEA2204728	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357240	11791_3#7	ERR439539	SAMEA2204729	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357241	11658_7#46	ERR434976	SAMEA2204730	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357242	11658_6#61	ERR434895	SAMEA2204731	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357243	11658_7#47	ERR434977	SAMEA2204732	PRJEB4681	Previously sequenced	2002	S	S		R	R	R	S		S			S
ERS357244	11657_5#31	ERR434289	SAMEA2204733	PRJEB4681	Previously sequenced	2002	S	S		R	S	I	R		S			S
ERS357245	11658_6#62	ERR434896	SAMEA2204734	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357246	11658_7#48	ERR434978	SAMEA2204735	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357247	11657_5#32	ERR434290	SAMEA2204736	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		R			R
ERS357248	11679_8#16	ERR435499	SAMEA2204737	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357249	11658_4#35	ERR434677	SAMEA2204738	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			R
ERS357250	11657_5#33	ERR434291	SAMEA2204739	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357251	11658_8#59	ERR435062	SAMEA2204740	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357252	11657_6#31	ERR434385	SAMEA2204741	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		R			R
ERS357253	11658_4#36	ERR434678	SAMEA2204742	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357254	11791_6#12	ERR439639	SAMEA2204743	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357255	11791_3#8	ERR439540	SAMEA2204744	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357256	11657_5#34	ERR434292	SAMEA2204745	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			R
ERS357257	11658_5#62	ERR434800	SAMEA2204746	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357258	11657_5#35	ERR434293	SAMEA2204747	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357259	11658_5#63	ERR434801	SAMEA2204748	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357260	11658_4#37	ERR434679	SAMEA2204749	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357261	11791_6#13	ERR439640	SAMEA2204750	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357262	11791_6#14	ERR439641	SAMEA2204751	PRJEB4681	Previously sequenced	2002	S	S		R	R	I	R		S			R
ERS357263	11679_4#22	ERR435121	SAMEA2204752	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357264	11679_8#17	ERR435500	SAMEA2204753	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357265	11658_5#64	ERR434802	SAMEA2204754	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357266	11791_3#9	ERR439541	SAMEA2204755	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357267	11658_7#49	ERR434979	SAMEA2204756	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357268	11657_6#32	ERR434386	SAMEA2204757	PRJEB4681	Previously sequenced	2002	S	S		S	R	R	S		S			S
ERS357269	11679_8#18	ERR435501	SAMEA2204758	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357270	11679_5#17	ERR435212	SAMEA2204759	PRJEB4681	Previously sequenced	2002	S	S		R	R	R	R		S			S
ERS357271	11679_4#23	ERR435122	SAMEA2204760	PRJEB4681	Previously sequenced	2002	S	S		R	R	R	S		S			R
ERS357272	11791_6#15	ERR439642	SAMEA2204761	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357273	11657_7#33	ERR434483	SAMEA2204762	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357274	11791_3#10	ERR439542	SAMEA2204763	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357275	11658_4#38	ERR434680	SAMEA2204764	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357276	11657_5#36	ERR434294	SAMEA2204765	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357277	11657_5#37	ERR434295	SAMEA2204766	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357278	11679_6#22	ERR435313	SAMEA2204767	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357279	11657_7#34	ERR434484	SAMEA2204768	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357280	11791_6#16	ERR439643	SAMEA2204769	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357281	11791_3#11	ERR439543	SAMEA2204770	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357282	11658_5#65	ERR434803	SAMEA2204771	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357283	11679_8#19	ERR435502	SAMEA2204772	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357285	11657_5#38	ERR434296	SAMEA2204774	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357286	11679_4#24	ERR435123	SAMEA2204775	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357287	11679_6#23	ERR435314	SAMEA2204776	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357288	11658_4#39	ERR434681	SAMEA2204777	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357289	11658_7#50	ERR434980	SAMEA2204778	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357290	11658_6#63	ERR434897	SAMEA2204779	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357291	11658_7#51	ERR434981	SAMEA2204780	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357292	11791_7#44	ERR439706	SAMEA2204781	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357295	11657_6#33	ERR434387	SAMEA2204784	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		I			S
ERS357296	11679_8#20	ERR435503	SAMEA2204785	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357297	11679_5#18	ERR435213	SAMEA2204786	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357298	11657_6#34	ERR434388	SAMEA2204787	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357299	11679_4#25	ERR435124	SAMEA2204788	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357300	11679_8#21	ERR435504	SAMEA2204789	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357301	11657_6#35	ERR434389	SAMEA2204790	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357302	11679_6#24	ERR435315	SAMEA2204791	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357303	11679_6#25	ERR435316	SAMEA2204792	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357304	11658_3#25	ERR434571	SAMEA2204793	PRJEB4681	Previously sequenced	2002	S	S		R	R	I	S		S			S
ERS357305	11679_7#21	ERR435408	SAMEA2204794	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357306	11791_3#12	ERR439544	SAMEA2204795	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357307	11658_3#26	ERR434572	SAMEA2204796	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357308	11791_3#13	ERR439545	SAMEA2204797	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357309	11679_6#26	ERR435317	SAMEA2204798	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357310	11679_5#19	ERR435214	SAMEA2204799	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357311	11658_3#27	ERR434573	SAMEA2204800	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		R			S
ERS357312	11679_8#22	ERR435505	SAMEA2204801	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357313	11679_5#20	ERR435215	SAMEA2204802	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357314	11791_3#14	ERR439546	SAMEA2204803	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357315	11679_7#22	ERR435409	SAMEA2204804	PRJEB4681	Previously sequenced	2002	S	S		R	R	S	S		S			S
ERS357316	11679_5#21	ERR435216	SAMEA2204805	PRJEB4681	Previously sequenced	2002	R	R		R	R	S	R		I			S
ERS357317	11658_3#28	ERR434574	SAMEA2204806	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357318	11658_4#40	ERR434682	SAMEA2204807	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357319	11791_6#17	ERR439644	SAMEA2204808	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357320	11791_3#15	ERR439547	SAMEA2204809	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357321	11791_3#16	ERR439548	SAMEA2204810	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	R		S			S
ERS357322	11679_8#23	ERR435506	SAMEA2204811	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357323	11679_5#22	ERR435217	SAMEA2204812	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357324	11679_5#23	ERR435218	SAMEA2204813	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357325	11791_3#17	ERR439549	SAMEA2204814	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		S			S
ERS357326	11679_8#24	ERR435507	SAMEA2204815	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357327	11679_8#25	ERR435508	SAMEA2204816	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357328	11679_7#23	ERR435410	SAMEA2204817	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	S		S			S
ERS357329	11679_7#24	ERR435411	SAMEA2204818	PRJEB4681	Previously sequenced	2002	S	S		R	S	S	S		R			R
ERS357330	11657_6#36	ERR434390	SAMEA2204819	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357332	11679_8#26	ERR435509	SAMEA2204821	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357333	11658_3#29	ERR434575	SAMEA2204822	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357334	11679_8#27	ERR435510	SAMEA2204823	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357335	11679_6#27	ERR435318	SAMEA2204824	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357336	11791_3#18	ERR439550	SAMEA2204825	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357337	11679_8#28	ERR435511	SAMEA2204826	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357338	11791_3#19	ERR439551	SAMEA2204827	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357339	11679_8#29	ERR435512	SAMEA2204828	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357340	11658_3#30	ERR434576	SAMEA2204829	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357341	11791_3#20	ERR439552	SAMEA2204830	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357342	11679_4#26	ERR435125	SAMEA2204831	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357343	11679_6#28	ERR435319	SAMEA2204832	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357344	11791_3#21	ERR439553	SAMEA2204833	PRJEB4681	Previously sequenced	2003	S	S		R	R	R	R		I			S
ERS357345	11791_3#22	ERR439554	SAMEA2204834	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357346	11791_3#23	ERR439555	SAMEA2204835	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357347	11657_7#35	ERR434485	SAMEA2204836	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357348	11679_6#29	ERR435320	SAMEA2204837	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357349	11679_8#30	ERR435513	SAMEA2204838	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357350	11679_5#24	ERR435219	SAMEA2204839	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357351	11679_7#26	ERR435413	SAMEA2204840	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357352	11679_8#31	ERR435514	SAMEA2204841	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357353	11791_3#24	ERR439556	SAMEA2204842	PRJEB4681	Previously sequenced	2003	S	S		R	R	R	S		S			S
ERS357354	11791_3#25	ERR439557	SAMEA2204843	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357355	11657_7#36	ERR434486	SAMEA2204844	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357356	11791_3#26	ERR439558	SAMEA2204845	PRJEB4681	Previously sequenced	2003	S	S		R	R	R	R		S			S
ERS357357	11791_6#18	ERR439645	SAMEA2204846	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		R			I
ERS357358	11679_6#30	ERR435321	SAMEA2204847	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357359	11679_6#31	ERR435322	SAMEA2204848	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357360	11791_3#27	ERR439559	SAMEA2204849	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357361	11657_6#37	ERR434391	SAMEA2204850	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	R		S			R
ERS357362	11679_4#27	ERR435126	SAMEA2204851	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			R
ERS357363	11679_8#32	ERR435515	SAMEA2204852	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357364	11791_3#28	ERR439560	SAMEA2204853	PRJEB4681	Previously sequenced	2003	S	S		R	R	R	S		S			S
ERS357365	11658_3#31	ERR434577	SAMEA2204854	PRJEB4681	Previously sequenced	2003	S	S		R	R	R	S		S			S
ERS357366	11679_6#32	ERR435323	SAMEA2204855	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357367	11679_5#25	ERR435220	SAMEA2204856	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357368	11679_6#33	ERR435324	SAMEA2204857	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357369	11791_3#29	ERR439561	SAMEA2204858	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357370	11657_6#38	ERR434392	SAMEA2204859	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357371	11679_5#26	ERR435221	SAMEA2204860	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357372	11791_3#30	ERR439562	SAMEA2204861	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357373	11679_5#27	ERR435222	SAMEA2204862	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357374	11679_6#34	ERR435325	SAMEA2204863	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357375	11657_6#39	ERR434393	SAMEA2204864	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357376	11791_3#31	ERR439563	SAMEA2204865	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357377	11657_5#39	ERR434297	SAMEA2204866	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357378	11679_7#27	ERR435414	SAMEA2204867	PRJEB4681	Previously sequenced	2002	S	S		S	S	S	R		S			S
ERS357379	11679_8#33	ERR435516	SAMEA2204868	PRJEB4681	Previously sequenced	2002	R	R		R	R	S	R		S			S
ERS357380	11657_5#40	ERR434298	SAMEA2204869	PRJEB4681	Previously sequenced	2003	R	R		R	R	R	R		R			R
ERS357381	11657_5#41	ERR434299	SAMEA2204870	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	R		S			S
ERS357382	11679_6#35	ERR435326	SAMEA2204871	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357383	11658_4#41	ERR434683	SAMEA2204872	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357384	11657_7#37	ERR434487	SAMEA2204873	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357385	11657_6#40	ERR434394	SAMEA2204874	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357386	11791_3#32	ERR439564	SAMEA2204875	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			R
ERS357387	11657_5#42	ERR434300	SAMEA2204876	PRJEB4681	Previously sequenced	2003	S	S		R	R	R	S		S			S
ERS357388	11679_8#34	ERR435517	SAMEA2204877	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357389	11657_7#38	ERR434488	SAMEA2204878	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357390	11791_6#19	ERR439646	SAMEA2204879	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357391	11679_8#35	ERR435518	SAMEA2204880	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357392	11679_4#28	ERR435127	SAMEA2204881	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357393	11679_8#36	ERR435519	SAMEA2204882	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357394	11658_5#66	ERR434804	SAMEA2204883	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357395	11679_8#37	ERR435520	SAMEA2204884	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357396	11658_8#60	ERR435063	SAMEA2204885	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357397	11658_4#42	ERR434684	SAMEA2204886	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357398	11658_7#52	ERR434982	SAMEA2204887	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357399	11658_6#64	ERR434898	SAMEA2204888	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			R
ERS357400	11657_5#43	ERR434301	SAMEA2204889	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357401	11791_7#45	ERR439707	SAMEA2204890	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357402	11679_8#38	ERR435521	SAMEA2204891	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357403	11658_5#67	ERR434805	SAMEA2204892	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357404	11679_8#39	ERR435522	SAMEA2204893	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357405	11658_8#61	ERR435064	SAMEA2204894	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357406	11679_5#28	ERR435223	SAMEA2204895	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357407	11658_4#43	ERR434685	SAMEA2204896	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357408	11658_4#44	ERR434686	SAMEA2204897	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357409	11658_7#53	ERR434983	SAMEA2204898	PRJEB4681	Previously sequenced	2003	R	R		R	S	S	R		S			R
ERS357410	11791_7#46	ERR439708	SAMEA2204899	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357411	11679_8#40	ERR435523	SAMEA2204900	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			R
ERS357412	11679_8#41	ERR435524	SAMEA2204901	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357413	11791_7#47	ERR439709	SAMEA2204902	PRJEB4681	Previously sequenced	2003	S	S		R	R	R	S		S			R
ERS357414	11658_7#54	ERR434984	SAMEA2204903	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357415	11791_3#33	ERR439565	SAMEA2204904	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357416	11657_6#41	ERR434395	SAMEA2204905	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357417	11791_7#48	ERR439710	SAMEA2204906	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357418	11791_3#34	ERR439566	SAMEA2204907	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357419	11658_6#65	ERR434899	SAMEA2204908	PRJEB4681	Previously sequenced	2003	S	S		R	S	S	S		S			S
ERS357420	11679_6#36	ERR435327	SAMEA2204909	PRJEB4681	Previously sequenced	2003	S	S		R	R	S	S		S			S
ERS357421	11791_3#35	ERR439567	SAMEA2204910	PRJEB4681	Previously sequenced	2003	S	S		S	S	S	S		S			S
ERS357422	11658_4#45	ERR434687	SAMEA2204911	PRJEB4681	Previously sequenced	2004	S	S		S	S	R	S		S			S
ERS357423	11658_7#55	ERR434985	SAMEA2204912	PRJEB4681	Previously sequenced	2004	S	S		S	S	R	R		S			S
ERS357424	11657_5#44	ERR434302	SAMEA2204913	PRJEB4681	Previously sequenced	2004	S	S		R	R	S	S		S			S
ERS357425	11657_7#39	ERR434489	SAMEA2204914	PRJEB4681	Previously sequenced	2004	S	S		R	S	I	S		S			S
ERS357426	11658_5#68	ERR434806	SAMEA2204915	PRJEB4681	Previously sequenced	2004	S	S		S	S	I	S		S			S
ERS357427	11658_8#62	ERR435065	SAMEA2204916	PRJEB4681	Previously sequenced	2004	S	S		S	S	I	S		S			S
